age_group,acetaminophen,acetaminophen_intensity,ibuprofen,ibuprofen_intensity,dextromethorphan,dextromethorphan_intensity,guaifenesin,guaifenesin_intensity,phenylephrine,phenylephrine_intensity,chlorpheniramine,chlorpheniramine_intensity,n_actives,total_intensity,suitability_score,is_safe
adult,0,0.0,0,0.0,1,0.7468373326831225,0,0.0,1,0.8851443545079607,1,0.4162945420156051,3,2.0482762292066883,1.0,1
senior,1,0.8167384190851912,1,0.7893505741612573,0,0.0,0,0.0,0,0.0,1,0.47479328078364114,3,2.0808822740300896,0.8850016830311911,1
child,1,0.9943768165049572,1,0.281042539270419,0,0.0,0,0.0,1,0.9271357486806198,1,0.8380397327769423,4,3.0405948372329386,0.6415773633211016,1
adult,0,0.0,1,0.41971768432591283,0,0.0,0,0.0,1,0.782993194771285,0,0.0,2,1.2027108790971979,0.8084503564851594,1
adult,0,0.0,1,0.5076865558561927,1,0.5223750810358901,1,0.16484672765222874,1,0.483697591650586,0,0.0,4,1.6786059561948976,0.8776626903881355,1
senior,0,0.0,0,0.0,0,0.0,1,0.3191124380717555,1,0.7239806072012066,1,0.9394382511565584,3,1.9825312964295205,0.8902855060449427,1
child,0,0.0,0,0.0,0,0.0,0,0.0,1,0.8767569135209476,0,0.0,1,0.8767569135209476,0.7170220018500276,1
child,1,0.7865177838834085,0,0.0,0,0.0,0,0.0,1,0.2888295684290264,0,0.0,2,1.075347352312435,0.7502159579346432,1
adult,1,0.15309739464624172,1,0.7732511731230458,0,0.0,0,0.0,0,0.0,1,0.762113422562867,3,1.6884619903321545,0.8788717175871456,1
teen,0,0.0,1,0.6859811738683306,1,0.437154848988039,1,0.24079459413285698,0,0.0,0,0.0,3,1.3639306169892267,0.9313650517430042,1
adult,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.7625585147811655,1
adult,0,0.0,1,0.23864664225343724,1,0.5704606326018395,0,0.0,1,0.6044397975002159,1,0.754583320545496,4,2.1681303929009887,0.8217589183086379,1
adult,1,0.9635930056037816,0,0.0,0,0.0,0,0.0,1,0.6792276211532722,0,0.0,2,1.6428206267570538,0.9662150621505516,1
adult,0,0.0,0,0.0,0,0.0,1,0.25605134505686367,1,0.9246908095487708,0,0.0,2,1.1807421546056345,0.8753160854160433,1
senior,1,0.34577936909229057,0,0.0,0,0.0,1,0.024144966831448733,0,0.0,1,0.6185483543942544,3,0.9884726903179937,0.85883037293153,1
child,1,0.4765535817914388,1,0.5619200178247427,1,0.04493554643050046,0,0.0,0,0.0,1,0.19417749610029278,4,1.2775866421469746,0.808552413793731,1
senior,1,0.3097635283920812,1,0.9843918182668397,0,0.0,0,0.0,1,0.874190075347774,0,0.0,3,2.168345422006695,0.8416990515093803,1
senior,1,0.3097895136724709,1,0.06143136664033744,1,0.2182140576069671,1,0.5333459359098501,0,0.0,0,0.0,4,1.1227808738296257,0.8104852098719241,1
senior,0,0.0,0,0.0,1,0.04429996253941881,0,0.0,1,0.6106050170043108,0,0.0,2,0.6549049795437296,0.8493775893641247,1
adult,1,0.8129514030252077,1,0.08499954388909825,1,0.235183200563563,0,0.0,0,0.0,0,0.0,3,1.1331341474778691,1.0,1
teen,0,0.0,1,0.5857913723039331,1,0.025632994936996,1,0.9748349142846066,1,0.656057551874209,0,0.0,4,2.2423168333997445,0.6445046007532926,1
child,1,0.08232735957175052,0,0.0,1,0.48333526819131,0,0.0,0,0.0,1,0.6182027557747763,3,1.183865383537837,0.8685471758004926,1
teen,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.746410515052812,1
senior,1,0.2284529998718532,1,0.20424263446716096,0,0.0,0,0.0,1,0.3074912240384152,1,0.7662856289612245,4,1.506472487338654,0.851102909552403,1
senior,0,0.0,0,0.0,0,0.0,1,0.8407741604770664,1,0.7976126192653138,1,0.7969931265098792,3,2.435379906252259,0.8318443776982726,1
teen,1,0.7911720333009671,1,0.35538167865518144,1,0.8863689940356331,0,0.0,0,0.0,1,0.2665467246520714,4,2.2994694306438532,0.8308444760961017,1
teen,0,0.0,0,0.0,1,0.31857295124386165,1,0.8543455597851954,0,0.0,1,0.5465589681385317,3,1.7194774791675886,0.884890500902273,1
teen,1,0.6368129856584286,1,0.13396447589059202,0,0.0,0,0.0,0,0.0,1,0.30629132756904787,3,1.0770687891180684,0.9739209528759357,1
senior,0,0.0,0,0.0,0,0.0,1,0.5920912171375777,0,0.0,0,0.0,1,0.5920912171375777,0.7621670943769574,1
senior,0,0.0,1,0.8107399789153478,1,0.08438355496633065,1,0.44094093501066434,1,0.9712263022128842,0,0.0,4,2.307290771105227,0.7251338905439247,1
child,1,0.8987734308517418,1,0.015112561175791739,0,0.0,0,0.0,1,0.7112427857349154,1,0.9021195823351322,4,2.5272483600975812,0.6430264643508945,1
child,1,0.949582848945752,1,0.2784527776290193,1,0.8859890183313427,1,0.5975822163740425,1,0.656380546584985,0,0.0,5,3.367987407865141,0.574546353638107,1
senior,0,0.0,1,0.9135954104569193,1,0.7825599492989419,0,0.0,1,0.7389971098612436,0,0.0,3,2.4351524696171047,0.8562260253689247,1
teen,1,0.48803638285419193,0,0.0,0,0.0,0,0.0,1,0.3152882891561941,1,0.7889694221546597,3,1.5922940941650459,0.9249451872370652,1
teen,1,0.16524656699837525,1,0.4930165393800513,0,0.0,1,0.4488998765897968,1,0.6003218060319706,0,0.0,4,1.707484789000194,0.7482013331249114,1
child,1,0.6003555507831663,1,0.5473238949072582,1,0.9331226431452406,1,0.7688104237965591,0,0.0,1,0.9623487493943998,5,3.811961262026624,0.6047708844882124,1
senior,0,0.0,0,0.0,1,0.8697622350983328,1,0.9843305296444914,0,0.0,0,0.0,2,1.8540927647428243,0.7761169906166795,1
child,0,0.0,1,0.7998099023621913,1,0.6228131313583439,0,0.0,1,0.910759192577421,0,0.0,3,2.333382226297956,0.7731080214666662,1
child,1,0.6440026006496677,1,0.07635181767154009,0,0.0,1,0.6015736930336315,0,0.0,0,0.0,3,1.3219281113548393,0.8437893668043518,1
adult,0,0.0,0,0.0,0,0.0,0,0.0,1,0.6846192002543459,0,0.0,1,0.6846192002543459,0.8266987640178237,1
adult,1,0.8252271579653299,0,0.0,1,0.9161268184223705,1,0.8177045337448108,1,0.650536065784351,0,0.0,4,3.2095945759168623,0.7420306543132705,1
adult,0,0.0,0,0.0,1,0.07139921988390519,1,0.5035565417631314,0,0.0,1,0.7499622781202349,3,1.3249180397672715,0.9769518338414841,1
teen,0,0.0,1,0.3600515293660266,0,0.0,1,0.5371819968452243,0,0.0,0,0.0,2,0.8972335262112509,0.8262239503514601,1
senior,1,0.6207054968000881,1,0.4148170188088137,1,0.12302338631783027,0,0.0,0,0.0,1,0.19767248255569636,4,1.3562183844824285,0.7151992004316863,1
senior,1,0.9570626321978061,1,0.5774441301758871,1,0.4847587133052289,0,0.0,0,0.0,0,0.0,3,2.019265475678922,0.8146129177980167,1
senior,1,0.6011593633442057,1,0.14038286531239808,0,0.0,0,0.0,1,0.5004555151630061,0,0.0,3,1.24199774381961,0.8572002036515028,1
senior,0,0.0,1,0.22306047459827338,1,0.46789403335274304,0,0.0,1,0.20507504169964397,1,0.9183877727021975,4,1.814417322352858,0.714771691887196,1
adult,0,0.0,0,0.0,0,0.0,1,0.3954767054966908,1,0.5506114197815644,1,0.48931797808796285,3,1.435406103366218,1.0,1
teen,0,0.0,1,0.652966656356514,0,0.0,0,0.0,1,0.76035668969972,0,0.0,2,1.413323346056234,0.8714753887576566,1
teen,0,0.0,0,0.0,1,0.8461244444850834,0,0.0,1,0.4130948524393787,1,0.14120257313190077,3,1.400421870056363,0.9443054010612283,1
adult,1,0.15966204353307545,1,0.658395168373455,0,0.0,1,0.9368579393446403,1,0.26679326631446043,0,0.0,4,2.0217084175656312,0.8844627068647922,1
teen,1,0.5370398430123202,0,0.0,0,0.0,1,0.06562038552214766,1,0.47473890394326934,1,0.5646909643917082,4,1.6420900968694454,0.8334019470403676,1
adult,0,0.0,1,0.8892039055159379,0,0.0,0,0.0,1,0.6450901358249964,0,0.0,2,1.5342940413409343,0.8578140032300363,1
senior,1,0.4533263683406926,0,0.0,0,0.0,1,0.4577186549561256,0,0.0,1,0.4945898311060354,3,1.4056348544028536,0.839639044430931,1
adult,0,0.0,1,0.21474318576428342,0,0.0,1,0.4144811159971755,0,0.0,0,0.0,2,0.6292243017614589,0.8963568784679244,1
senior,1,0.22252877152580608,1,0.9603322303448533,1,0.15947693863812917,0,0.0,0,0.0,1,0.7054977207802474,4,2.047835661289036,0.7094054457209854,1
senior,0,0.0,0,0.0,0,0.0,0,0.0,1,0.36809925381233355,0,0.0,1,0.36809925381233355,0.7689683915016906,1
child,1,0.32003133902400793,1,0.3524024262603024,1,0.625199147989082,1,0.2845128471165118,0,0.0,0,0.0,4,1.582145760389904,0.7051427662062797,1
adult,0,0.0,0,0.0,1,0.43138571755958455,0,0.0,1,0.446145872120316,0,0.0,2,0.8775315896799005,0.9362282040841104,1
child,0,0.0,0,0.0,1,0.18190733854090657,1,0.32901148454460327,1,0.815927602667545,0,0.0,3,1.3268464257530548,0.7927956079086981,1
adult,0,0.0,0,0.0,1,0.5832192355454153,0,0.0,1,0.9870930731519105,0,0.0,2,1.5703123086973259,0.8192983189893888,1
adult,0,0.0,1,0.20140257533220474,1,0.4343896645186366,1,0.1514404653174649,0,0.0,0,0.0,3,0.7872327051683062,0.9819873362381748,1
child,0,0.0,0,0.0,0,0.0,1,0.48996266492606755,0,0.0,0,0.0,1,0.48996266492606755,0.8174257204016286,1
child,0,0.0,0,0.0,1,0.5870091999052618,0,0.0,1,0.7981679150929775,1,0.1709208285650048,3,1.556097943563244,0.7529996683281731,1
adult,0,0.0,1,0.9133343335335439,0,0.0,0,0.0,0,0.0,1,0.2742345904001222,2,1.1875689239336662,0.8278447385645767,1
teen,1,0.8371602038404454,1,0.5893658709180146,1,0.6492088129286769,1,0.2468845158124573,0,0.0,1,0.06388055192630093,5,2.386499955425895,0.6169372196437349,1
senior,0,0.0,0,0.0,0,0.0,0,0.0,1,0.23921527317280988,1,0.23999445247578033,2,0.4792097256485902,0.7991822936377919,1
child,1,0.4113534172548571,0,0.0,0,0.0,0,0.0,1,0.22521097148233526,1,0.15023257879235907,3,0.7867969675295514,0.8622525838154369,1
senior,0,0.0,1,0.9498854194584496,1,0.62578641258132,1,0.94891244714124,0,0.0,0,0.0,3,2.52458427918101,0.7244858407183088,1
teen,1,0.10789452149431611,0,0.0,0,0.0,0,0.0,0,0.0,1,0.23847772555503444,2,0.34637224704935055,0.9083680010052704,1
teen,1,0.6056027248007154,0,0.0,0,0.0,1,0.3727624939060922,0,0.0,1,0.5606777351775523,3,1.5390429538843597,0.8451373175169032,1
teen,0,0.0,0,0.0,1,0.5871074608726347,1,0.43500343775905137,1,0.6754989312361456,0,0.0,3,1.6976098298678317,0.9145848219519475,1
child,1,0.900114482140243,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5184538970201501,2,1.4185683791603931,0.7075107457089382,1
teen,0,0.0,0,0.0,1,0.7057723085952883,0,0.0,0,0.0,1,0.6305098056297491,2,1.3362821142250374,0.8390761567112083,1
child,1,0.32102656983345357,1,0.8266732731194365,0,0.0,1,0.6141508300134237,1,0.7549504789277922,0,0.0,4,2.516801151894106,0.5701999959189503,1
teen,1,0.10087665686142466,0,0.0,0,0.0,1,0.5773317063085044,1,0.2823137100584798,1,0.3068201125622807,4,1.2673421857906897,0.8545632968760772,1
senior,0,0.0,1,0.414393058003106,0,0.0,0,0.0,1,0.6283743826421389,1,0.6525903103837494,3,1.695357751028994,0.8389399282540448,1
senior,0,0.0,1,0.3823302750583971,1,0.5500510240824008,0,0.0,0,0.0,1,0.48442648015761813,3,1.416807779298416,0.8416165855732871,1
adult,0,0.0,0,0.0,1,0.8927545072682563,1,0.785783441911777,1,0.8016236134948084,0,0.0,3,2.4801615626748417,0.8983402531548362,1
senior,0,0.0,0,0.0,1,0.6960046560764289,0,0.0,1,0.4548009279358901,0,0.0,2,1.150805584012319,0.7840855156247835,1
adult,1,0.7522157303249369,0,0.0,0,0.0,1,0.6908898638030866,0,0.0,1,0.45402152593886846,3,1.897127120066892,0.9419805123883415,1
senior,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3384343966343487,0,0.0,1,0.3384343966343487,0.7391354089201421,1
child,0,0.0,0,0.0,1,0.318008938448169,0,0.0,1,0.7413567259118287,0,0.0,2,1.0593656643599978,0.8117991292762258,1
senior,0,0.0,0,0.0,1,0.8937001376545153,0,0.0,1,0.4486302348685992,0,0.0,2,1.3423303725231146,0.7467488056079924,1
adult,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5193342256106911,0,0.0,1,0.5193342256106911,0.8420149939712829,1
adult,0,0.0,0,0.0,0,0.0,1,0.48226821694923605,0,0.0,0,0.0,1,0.48226821694923605,0.872958619795389,1
teen,1,0.1568153218266135,1,0.37985694934355174,1,0.6119914161694571,1,0.5735379561127526,1,0.9351807934064751,1,0.7587647558915135,6,3.4161471927503637,0.5331928638686465,1
child,0,0.0,0,0.0,0,0.0,1,0.4880015400866021,1,0.004982549658458679,0,0.0,2,0.4929840897450608,0.7578720984861882,1
senior,1,0.773324979014462,0,0.0,0,0.0,1,0.8153857948933199,1,0.7793152264292784,1,0.7660869613869444,4,3.1341129617240044,0.6649135146297467,1
teen,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2140346335386779,0,0.0,1,0.2140346335386779,0.7667017503018237,1
senior,0,0.0,0,0.0,0,0.0,1,0.7392798755867047,0,0.0,0,0.0,1,0.7392798755867047,0.8131430728317721,1
senior,1,0.27570519528324633,1,0.855377242449742,1,0.03499947809308446,1,0.05451225170800211,1,0.5593490152080964,1,0.806215198139062,6,2.5861583808812334,0.49270914557810436,1
teen,0,0.0,0,0.0,1,0.18725383606892065,0,0.0,0,0.0,1,0.7031662556023015,2,0.8904200916712222,0.8366982837405599,1
teen,0,0.0,0,0.0,1,0.43443451451772486,1,0.20294877861325533,0,0.0,0,0.0,2,0.6373832931309802,0.8685896449027124,1
teen,1,0.1768292035578407,1,0.5574867390381183,1,0.8971603777154308,1,0.35581097521607197,0,0.0,1,0.3994883332657081,5,2.38677562879317,0.6701495372706159,1
teen,0,0.0,1,0.3203579118362482,0,0.0,1,0.9412184326684401,0,0.0,0,0.0,2,1.2615763445046881,0.8091566724380165,1
teen,0,0.0,1,0.07146157379899754,1,0.15223178347906108,1,0.5848272599271032,0,0.0,0,0.0,3,0.8085206172051618,1.0,1
senior,1,0.7713817267601133,0,0.0,1,0.9482765066837334,0,0.0,1,0.48789431089535606,0,0.0,3,2.207552544339203,0.8530157168463818,1
teen,1,0.889529234982881,1,0.7303709942314968,0,0.0,0,0.0,0,0.0,0,0.0,2,1.6199002292143776,0.8938621400108664,1
child,0,0.0,1,0.48756264282465955,0,0.0,0,0.0,1,0.06134205734132647,1,0.5759558089380415,3,1.1248605091040276,0.7979844519731177,1
